Adaptability,Khả năng thích ứng
Adaptation,Sự thích nghi
Agile,Nhanh nhẹn
Amphibian,Lưỡng cư
Animal shelter,Trại bảo trợ động vật
Animal testing,Thử nghiệm trên động vật
Antlers,Gạc (của hươu)
Beak,Mỏ (của chim)
Bees,Ong
Biodiversity,Đa dạng sinh học
Bird,Chim
Blunt,"Cùn, không sắc"
Bred,"Được nuôi, được sinh sản"
Brink of extinction,Bờ vực tuyệt chủng
Budgies,Chim cảnh
Burrow,Đào hang
Burrowing,Đào hang
Butterflies,Bướm
Buzz,Tiếng reo của côn trùng
Camouflage,Sự ngụy trang
Camouflaged,Ngụy trang
Carnivorous,Động vật ăn thịt
Cheetahs,Báo đốm
Chirp,Tiếng chíp (của chim)
Claws,Móng vuốt
Cloning technology,Công nghệ nhân bản
Colony,Tổ kiến
Companionable,"Dễ thân thiện, hợp tác"
Conservation,Bảo tồn
Crawl,Bò (sâu bướm)
Diurnal,Hoạt động ban ngày
Dolphins,Cá heo
Domesticated,Nhốt nuôi
Echolocation,Định vị bằng âm thanh
Ecosystem,Hệ sinh thái
Elephants,Voi
Endangered,Có nguy cơ tuyệt chủng
Eusocial,Xã xã hội cao
Exoskeleton,Xương bên ngoài
Exotic,"Kỳ lạ, độc đáo"
Fangs,Răng nanh
Feathers,Lông (chim)
Fins,Vây (cá)
Fish,Cá
Flock,Bầy (chim)
Fly,Bay
Free-range chickens,Gà chăn thả
Frogs,Ếch
Fur,Lông
Gallop,Phi nước đại (ngựa)
Giraffes,Hươu cao cổ
Gorillas,Khỉ đột
Habitat,Môi trường sống
Herbivorous,Động vật ăn cỏ
Herd,Bầy (voi)
Hibernation,Ngủ đông
Hooves,Móng (ngựa)
Horns,Sừng
House-trained,Đã được huấn luyện trong nhà
Howl,Tiếng hú
Hunt,Săn
In captivity,Bị giam cầm
Insect,Côn trùng
Invertebrate,Động vật không xương sống
Koalas,Gấu túi
Lambing,Sự sinh con cừu
Lions,Sư tử
Livestock,Động vật chăn nuôi
Mammal,Động vật có vú
Mane,Bờm
Mate,Giao phối
Migrate,Di cư
Mimicry,Bắt chước
Nest,Tổ (chim)
Nocturnal,Hoạt động ban đêm
Omnivorous,Động vật ăn tạp
Pack,Bầy (sói)
Parental care,Chăm sóc con cái
Paws,Chân (có móng vuốt)
Penguins,Chim cánh cụt
Pests,Loài gây hại
Pod,Bầy (cá voi)
Pounce,Tấn công
Predator,Động vật săn mồi
Prey,Con mồi
Pride,Bầy (sư tử)
Protective coloration,Màu sắc bảo vệ
Puppy,Chó con
Reptile,Bò sát
Roaming,Lang thang
Roar,Tiếng gầm
Rodents,Loài gặm nhấm
Scales,Vảy
Scent-marking,Đánh dấu mùi
School,Bầy (cá)
Sharks,Cá mập
Shell,Vỏ (sò/ốc/rùa)
Slither,Trườn
Snakes,Rắn
Solitary,Đơn độc
Speed,Tốc độ
Stray,Động vật lạc đường
Strength,Sức mạnh
Suckling,Đang bú sữa
Swarm,Bầy (côn trùng)
Swim,Bơi
Swoop,Đập xuống (đại bàng)
Tabby,Mèo vằn
Tail,Đuôi
Tentacles,Càng/Vòi (mực)
Territorial,Chiếm lãnh thổ
Tigers,Hổ
Troop,Bầy (khỉ)
Trunk,Vòi (voi)
Venomous,Có nọc độc
Vertebrate,Động vật có xương sống
Webbed,Có màng chân
Whiskers,Râu (mèo)
Wild,Hoang dã
Wings,Cánh
Wolves,Sói
